,researchExp,industryExp,internExp,greV,greQ,journalPubs,confPubs,univName,year,targetRank,admit
0,0,18,5.0,160.0,167.0,0,0,Worcester Polytechnic Institute,2015,91,1
2,0,66,0.0,146.0,157.0,0,0,Worcester Polytechnic Institute,2015,91,1
4,0,0,0.0,148.0,161.0,0,0,Worcester Polytechnic Institute,2011,91,1
6,0,0,0.0,150.0,161.0,0,0,Worcester Polytechnic Institute,2015,91,1
7,0,0,0.0,147.0,156.0,0,0,Worcester Polytechnic Institute,2012,91,1
8,0,0,0.0,152.0,158.0,0,0,Worcester Polytechnic Institute,2011,91,1
9,0,0,0.0,156.0,163.0,0,0,Worcester Polytechnic Institute,2011,91,1
10,0,0,0.0,148.0,153.0,0,0,Worcester Polytechnic Institute,2012,91,1
11,0,0,0.0,152.0,163.0,0,0,Worcester Polytechnic Institute,2011,91,1
12,0,0,0.0,152.0,163.0,0,0,Worcester Polytechnic Institute,2011,91,1
13,0,0,0.0,152.0,163.0,0,0,Worcester Polytechnic Institute,2011,91,1
14,0,0,0.0,146.0,161.0,0,0,Worcester Polytechnic Institute,2016,91,1
15,0,39,0.0,149.0,159.0,0,0,Worcester Polytechnic Institute,2015,91,1
16,0,0,0.0,161.0,154.0,0,0,Worcester Polytechnic Institute,2011,91,1
17,0,24,0.0,143.0,159.0,0,0,Worcester Polytechnic Institute,2015,91,1
18,0,0,0.0,156.0,159.0,0,0,Worcester Polytechnic Institute,2014,91,1
19,0,0,0.0,154.0,161.0,0,0,Worcester Polytechnic Institute,2014,91,1
20,0,0,0.0,159.0,156.0,0,0,Worcester Polytechnic Institute,2012,91,1
21,0,0,0.0,143.0,162.0,0,0,Worcester Polytechnic Institute,2013,91,1
22,0,0,0.0,148.0,160.0,0,0,Worcester Polytechnic Institute,2012,91,1
23,0,0,0.0,149.0,156.0,0,0,Worcester Polytechnic Institute,2012,91,1
24,0,0,0.0,32.0,50.0,0,0,Worcester Polytechnic Institute,2011,91,1
26,0,0,0.0,162.0,161.0,0,0,Worcester Polytechnic Institute,2015,91,1
27,0,36,0.0,152.0,163.0,0,0,Worcester Polytechnic Institute,2014,91,1
29,0,0,0.0,165.0,164.0,0,0,Worcester Polytechnic Institute,2013,91,1
30,0,0,0.0,159.0,166.0,0,0,Worcester Polytechnic Institute,2012,91,1
31,0,0,0.0,162.0,163.0,0,0,Worcester Polytechnic Institute,2013,91,1
32,0,24,0.0,153.0,161.0,0,0,Worcester Polytechnic Institute,2014,91,1
33,0,0,0.0,149.0,160.0,0,0,Worcester Polytechnic Institute,2013,91,1
34,0,0,0.0,160.0,160.0,0,0,Worcester Polytechnic Institute,2012,91,1
35,0,0,0.0,152.0,163.0,0,0,Worcester Polytechnic Institute,2014,91,1
36,0,26,0.0,145.0,160.0,0,0,Worcester Polytechnic Institute,2016,91,1
37,0,0,0.0,152.0,160.0,0,0,Worcester Polytechnic Institute,2011,91,1
38,0,0,0.0,156.0,167.0,0,0,Worcester Polytechnic Institute,2014,91,1
40,0,0,0.0,150.0,163.0,0,0,Worcester Polytechnic Institute,2009,91,1
41,0,0,0.0,151.0,149.0,0,0,Worcester Polytechnic Institute,2012,91,1
42,0,0,0.0,146.0,155.0,0,0,Worcester Polytechnic Institute,2013,91,1
43,0,0,0.0,141.0,160.0,0,0,Worcester Polytechnic Institute,2011,91,1
44,0,0,0.0,162.0,161.0,0,0,Worcester Polytechnic Institute,2011,91,1
45,0,0,0.0,154.0,160.0,0,0,Worcester Polytechnic Institute,2011,91,1
46,0,0,0.0,157.0,166.0,0,0,Worcester Polytechnic Institute,2012,91,1
47,0,0,0.0,149.0,155.0,0,0,Worcester Polytechnic Institute,2011,91,1
48,0,0,0.0,149.0,158.0,0,0,Worcester Polytechnic Institute,2014,91,1
49,0,0,0.0,140.0,156.0,0,0,Worcester Polytechnic Institute,2013,91,1
50,0,0,0.0,156.0,160.0,0,0,Worcester Polytechnic Institute,2012,91,1
51,0,0,0.0,143.0,158.0,0,0,Worcester Polytechnic Institute,2008,91,1
52,0,0,0.0,25.0,41.0,0,0,Worcester Polytechnic Institute,2012,91,1
53,0,0,0.0,158.0,167.0,0,0,Worcester Polytechnic Institute,2012,91,1
54,0,0,0.0,145.0,159.0,0,0,Worcester Polytechnic Institute,2012,91,1
55,0,36,0.0,153.0,152.0,0,0,Worcester Polytechnic Institute,2015,91,1
56,0,0,0.0,148.0,163.0,0,0,Worcester Polytechnic Institute,2015,91,1
57,0,0,0.0,149.0,158.0,0,0,Worcester Polytechnic Institute,2011,91,1
58,0,0,0.0,150.0,151.0,0,0,Worcester Polytechnic Institute,2012,91,1
59,0,0,0.0,142.0,155.0,0,0,Worcester Polytechnic Institute,2012,91,1
60,0,0,0.0,156.0,159.0,0,0,Worcester Polytechnic Institute,2014,91,1
61,0,0,0.0,154.0,156.0,0,0,Worcester Polytechnic Institute,2012,91,1
62,0,0,0.0,160.0,157.0,0,0,Worcester Polytechnic Institute,2011,91,1
63,0,48,0.0,156.0,157.0,0,0,Worcester Polytechnic Institute,2014,91,1
64,0,0,0.0,143.0,160.0,0,0,Worcester Polytechnic Institute,2015,91,1
66,0,43,0.0,150.0,157.0,0,0,Worcester Polytechnic Institute,2015,91,1
67,0,15,4.0,152.0,162.0,0,2,Worcester Polytechnic Institute,2016,91,1
68,0,0,0.0,149.0,157.0,0,0,Worcester Polytechnic Institute,2014,91,1
69,0,0,0.0,163.0,164.0,0,0,Worcester Polytechnic Institute,2011,91,1
70,0,36,0.0,150.0,161.0,0,0,Worcester Polytechnic Institute,2014,91,1
71,0,0,0.0,146.0,153.0,0,0,Worcester Polytechnic Institute,2013,91,1
72,0,0,0.0,147.0,157.0,0,0,Worcester Polytechnic Institute,2013,91,1
73,0,0,0.0,148.0,163.0,0,0,Worcester Polytechnic Institute,2011,91,1
74,0,0,0.0,157.0,166.0,0,0,Worcester Polytechnic Institute,2012,91,1
75,0,0,0.0,143.0,161.0,0,0,Worcester Polytechnic Institute,2012,91,1
76,0,0,0.0,145.0,162.0,0,0,Worcester Polytechnic Institute,2013,91,1
77,0,0,0.0,152.0,160.0,0,0,Worcester Polytechnic Institute,2013,91,1
78,0,54,3.0,143.0,157.0,0,0,Worcester Polytechnic Institute,2015,91,1
79,0,20,8.0,155.0,153.0,2,0,Worcester Polytechnic Institute,2015,91,1
80,0,0,0.0,144.0,160.0,0,0,Worcester Polytechnic Institute,2012,91,1
81,0,0,4.0,142.0,159.0,0,0,Worcester Polytechnic Institute,2014,91,1
82,0,0,0.0,154.0,167.0,0,0,Worcester Polytechnic Institute,2015,91,1
83,0,0,0.0,151.0,163.0,0,0,Worcester Polytechnic Institute,2012,91,1
84,0,0,0.0,146.0,157.0,0,0,Worcester Polytechnic Institute,2011,91,1
85,0,0,0.0,151.0,151.0,0,0,Worcester Polytechnic Institute,2013,91,1
86,0,0,0.0,149.0,166.0,0,0,Worcester Polytechnic Institute,2011,91,1
87,0,0,0.0,153.0,158.0,0,0,Worcester Polytechnic Institute,2014,91,1
88,0,0,0.0,161.0,168.0,0,0,Worcester Polytechnic Institute,2015,91,1
89,0,0,0.0,149.0,157.0,0,0,Worcester Polytechnic Institute,2011,91,1
90,0,0,0.0,146.0,158.0,0,0,Worcester Polytechnic Institute,2011,91,1
91,0,0,0.0,153.0,163.0,0,0,Worcester Polytechnic Institute,2014,91,1
92,0,0,0.0,165.0,155.0,0,0,Worcester Polytechnic Institute,2012,91,1
93,0,0,0.0,157.0,170.0,0,0,Worcester Polytechnic Institute,2014,91,1
94,0,0,0.0,148.0,157.0,0,0,Worcester Polytechnic Institute,2014,91,1
95,0,0,0.0,162.0,151.0,0,0,Worcester Polytechnic Institute,2011,91,1
96,0,0,0.0,154.0,164.0,0,0,Worcester Polytechnic Institute,2013,91,1
97,0,0,0.0,149.0,158.0,0,0,Worcester Polytechnic Institute,2012,91,1
98,0,0,0.0,150.0,158.0,0,0,Worcester Polytechnic Institute,2011,91,1
99,0,0,0.0,160.0,152.0,0,0,Worcester Polytechnic Institute,2013,91,1
100,0,0,0.0,149.0,155.0,0,0,Worcester Polytechnic Institute,2015,91,1
101,0,0,0.0,155.0,166.0,0,0,Worcester Polytechnic Institute,,91,1
102,0,0,0.0,38.0,50.0,0,0,Worcester Polytechnic Institute,2011,91,1
103,0,0,0.0,144.0,157.0,0,0,Worcester Polytechnic Institute,2013,91,0
104,0,0,0.0,150.0,164.0,0,0,Worcester Polytechnic Institute,2012,91,0
106,0,0,0.0,152.0,166.0,0,0,Worcester Polytechnic Institute,2012,91,0
107,0,0,0.0,144.0,155.0,0,0,Worcester Polytechnic Institute,2014,91,0
108,10,0,14.0,155.0,160.0,7,3,Worcester Polytechnic Institute,2014,91,0
109,0,9,2.0,142.0,153.0,0,0,Worcester Polytechnic Institute,2015,91,0
110,0,0,0.0,147.0,155.0,0,0,Worcester Polytechnic Institute,2014,91,0
111,0,0,0.0,145.0,157.0,0,0,Worcester Polytechnic Institute,2013,91,0
112,0,0,0.0,143.0,152.0,0,0,Worcester Polytechnic Institute,2012,91,0
113,0,0,6.0,162.0,166.0,0,0,Worcester Polytechnic Institute,2015,91,0
114,0,0,0.0,144.0,155.0,0,0,Worcester Polytechnic Institute,2013,91,0
115,0,21,6.0,157.0,158.0,0,0,Worcester Polytechnic Institute,2014,91,0
116,0,0,0.0,144.0,149.0,0,0,Worcester Polytechnic Institute,2012,91,0
117,0,0,0.0,154.0,160.0,0,0,Worcester Polytechnic Institute,2014,91,0
118,0,0,0.0,137.0,157.0,0,0,Worcester Polytechnic Institute,2012,91,0
119,0,0,0.0,152.0,164.0,0,0,Worcester Polytechnic Institute,2011,91,0
120,0,0,0.0,157.0,158.0,0,0,Worcester Polytechnic Institute,2012,91,0
122,0,0,1.0,153.0,164.0,1,1,Worcester Polytechnic Institute,2015,91,0
123,0,0,0.0,138.0,159.0,0,0,Worcester Polytechnic Institute,2011,91,0
124,0,23,0.0,155.0,161.0,0,0,Worcester Polytechnic Institute,2014,91,0
125,0,0,0.0,140.0,155.0,0,0,Worcester Polytechnic Institute,2006,91,0
126,0,0,0.0,150.0,150.0,0,0,Worcester Polytechnic Institute,2014,91,0
127,0,0,0.0,142.0,154.0,0,0,Worcester Polytechnic Institute,2013,91,0
128,0,0,0.0,152.0,155.0,0,0,Worcester Polytechnic Institute,2006,91,0
129,0,0,0.0,157.0,164.0,0,0,Worcester Polytechnic Institute,2014,91,0
130,0,0,0.0,145.0,160.0,0,0,Worcester Polytechnic Institute,2013,91,0
131,0,0,0.0,149.0,155.0,0,0,Worcester Polytechnic Institute,2012,91,0
132,0,0,0.0,150.0,156.0,0,0,Worcester Polytechnic Institute,2011,91,0
133,0,24,3.0,150.0,162.0,0,0,Worcester Polytechnic Institute,2014,91,0
134,0,0,0.0,160.0,153.0,0,0,Worcester Polytechnic Institute,2011,91,0
135,0,0,0.0,149.0,158.0,0,0,Worcester Polytechnic Institute,2013,91,0
136,0,0,0.0,148.0,162.0,0,0,Worcester Polytechnic Institute,2013,91,0
137,0,0,0.0,165.0,161.0,0,0,Worcester Polytechnic Institute,2012,91,0
